,,1,2,3,4,5,6,7,8,,,,2.449489743
0.34400001,0,0.484,0.47600001,0.47600001,0.42399999,0.456,0.50800002,0.49599999,0.47600001,0.42399999,0.468888891,0,0.027569895
0.54799998,0,0.46799999,0.47999999,0.5,0.50400001,0.50400001,0.49599999,0.47999999,0.48800001,0.46799999,0.487555553,0,0.013524561
0.96799999,0,0.98000002,0.98000002,0.98400003,0.98799998,0.98000002,0.97600001,0.97600001,0.972,0.972,0.978666677,0,0.004988877
0.032,0,0.036,0.04,0.04,0.036,0.032,0.04,0.044,0.056,0.032,0.039555556,0,0.006913933
0.30000001,0,0.40799999,0.40799999,0.412,0.40000001,0.38,0.38,0.38,0.368,0.368,0.389333332,0,0.016653326
0.88800001,0,0.71600002,0.71600002,0.72000003,0.72399998,0.73199999,0.74000001,0.736,0.74400002,0.71600002,0.727111121,0,0.010460976
0.69199997,0,0.59600002,0.60799998,0.59600002,0.588,0.59600002,0.60000002,0.59600002,0.60000002,0.588,0.596444456,0,0.005794844
0.116,0,0.21600001,0.212,0.208,0.204,0.2,0.21600001,0.22400001,0.22,0.2,0.211111114,0,0.008171015
0.352,0,0.46799999,0.44400001,0.472,0.48800001,0.49599999,0.51999998,0.49599999,0.49200001,0.44400001,0.479999999,0,0.023851385
0.52399999,0,0.47999999,0.50800002,0.46000001,0.44800001,0.50400001,0.46799999,0.472,0.46799999,0.44800001,0.472888892,0,0.020289268
0.95999998,0,0.98400003,0.98000002,0.98000002,0.96799999,0.972,0.972,0.98000002,0.98400003,0.96799999,0.976444456,0,0.00609393
0.036,0,0.032,0.036,0.04,0.044,0.052,0.06,0.06,0.04,0.032,0.044,0,0.010327956
0.308,0,0.384,0.38,0.384,0.38800001,0.396,0.40000001,0.396,0.396,0.38,0.389333336,0,0.007302969
0.89200002,0,0.73199999,0.73199999,0.736,0.72399998,0.73199999,0.736,0.736,0.736,0.72399998,0.731999992,0,0.00461881
0.69999999,0,0.60000002,0.61199999,0.60000002,0.616,0.616,0.616,0.60399997,0.60799998,0.60000002,0.608,0,0.006798686
0.116,0,0.22,0.192,0.21600001,0.228,0.21600001,0.208,0.204,0.212,0.192,0.20977778,0,0.011486977
0.37200001,0,0.49200001,0.5,0.49599999,0.50800002,0.51200002,0.48800001,0.49200001,0.472,0.472,0.492444451,0,0.013124292
0.528,0,0.484,0.484,0.47999999,0.5,0.47600001,0.49200001,0.51599997,0.51200002,0.47600001,0.491111112,0,0.014208323
0.96799999,0,0.98000002,0.97600001,0.98000002,0.98799998,0.98799998,0.98799998,0.98400003,0.98400003,0.97600001,0.982666673,0,0.004618791
0.032,0,0.036,0.04,0.044,0.04,0.032,0.032,0.032,0.036,0.032,0.036,0,0.00421637
0.296,0,0.396,0.40400001,0.412,0.40400001,0.39199999,0.38800001,0.37599999,0.37599999,0.37599999,0.391555554,0,0.012850523
0.88800001,0,0.72799999,0.73199999,0.72399998,0.74000001,0.74000001,0.74400002,0.74400002,0.736,0.72399998,0.734666667,0,0.007542487
0.68800002,0,0.61199999,0.60000002,0.59200001,0.57999998,0.588,0.60000002,0.60799998,0.588,0.57999998,0.59422222,0,0.010850275
0.108,0,0.18799999,0.192,0.208,0.21600001,0.18799999,0.2,0.21600001,0.21600001,0.18799999,0.201333333,0,0.012073855
0.35600001,0,0.44800001,0.472,0.472,0.51200002,0.50400001,0.47999999,0.48800001,0.50800002,0.44800001,0.481333341,0,0.022627421
0.51200002,0,0.54799998,0.53200001,0.50800002,0.53200001,0.53200001,0.52399999,0.49599999,0.47999999,0.47999999,0.514666666,0,0.02332381
0.95999998,0,0.98799998,0.98799998,0.98400003,0.98000002,0.98400003,0.98000002,0.98400003,0.98400003,0.98000002,0.983555571,0,0.002948098
